objectid,no_prop,no_kab,no_kec,no_kel,KABUPATEN,KECAMATAN,KELURAHAN,kepadatan_penduduk,wighted education score,weighted_employment_score,Kab_Gini_2018,Kab_Gini_2019,Kab_Gini_2020,Kab_Gini_2021,Kab_Gini_2022,Kab_Gini_2023,desa_gini_2018,desa_gini_2019,desa_gini_2020,desa_gini_2021,desa_gini_2022,desa_gini_2023
496773,35,21,18,2001,KAB. NGAWI,GERIH,RANDUSONGO,3.98838232,1864.9,1857.6,0.353,0.336,0.337,0.309,0.300,0.328,0.470911023,0.448232588,0.449566614,0.412213898,0.400207668,0.437560384
498949,35,21,2,2011,KAB. NGAWI,NGRAMBE,KRANDEGAN,1.76600726,766,810.3,0.353,0.336,0.337,0.309,0.300,0.328,0.202429946,0.192681195,0.193254651,0.177197885,0.172036782,0.188093548
498950,35,21,6,2004,KAB. NGAWI,KWADUNGAN,JENANGAN,1.31250519,632.6,514.9,0.353,0.336,0.337,0.309,0.300,0.328,0.148724894,0.141562505,0.141983822,0.130186947,0.126395094,0.13819197
498951,35,21,4,2006,KAB. NGAWI,KENDAL,KENDAL,6.34759608,2822.4,3237.8,0.353,0.336,0.337,0.309,0.300,0.328,0.759985003,0.723385159,0.725538091,0.665255994,0.645879606,0.706161702
498953,35,21,10,2004,KAB. NGAWI,PARON,KEDUNGPUTRI,6.6262885,2843,3706.3,0.353,0.336,0.337,0.309,0.300,0.328,0.811136702,0.772073461,0.774371299,0.710031844,0.689351304,0.753690759
498955,35,21,11,2006,KAB. NGAWI,KEDUNGGALAR,JATIGEMBOL,3.772736,1689.7,1721.4,0.353,0.336,0.337,0.309,0.300,0.328,0.43620416,0.415197161,0.416432866,0.381833103,0.370711751,0.405311514
498957,35,21,15,2007,KAB. NGAWI,BRINGIN,GANDONG,1.76099223,698.5,725.3,0.353,0.336,0.337,0.309,0.300,0.328,0.189556543,0.180427758,0.180964745,0.165929099,0.161096212,0.176131859
500979,35,21,14,2005,KAB. NGAWI,PANGKUR,PLESET,2.25461454,1066.2,845.4,0.353,0.336,0.337,0.309,0.300,0.328,0.250550994,0.238484798,0.239194575,0.219320841,0.212932856,0.232806589
500994,35,21,19,2003,KAB. NGAWI,KASREMAN,KARANGMALANG,1.56182387,741.4,796.2,0.353,0.336,0.337,0.309,0.300,0.328,0.190954365,0.181758262,0.182299209,0.167152688,0.162284163,0.177430684
501134,35,21,2,2003,KAB. NGAWI,NGRAMBE,SETONO,2.09771573,943.1,969.4,0.353,0.336,0.337,0.309,0.300,0.328,0.243843352,0.232100187,0.232790962,0.21344928,0.20723231,0.226573993
501136,35,21,2,2012,KAB. NGAWI,NGRAMBE,PUCANGAN,2.87504549,1356.2,1656.4,0.353,0.336,0.337,0.309,0.300,0.328,0.366318478,0.348677078,0.349714807,0.320658384,0.311318819,0.340375243
501137,35,21,15,2006,KAB. NGAWI,BRINGIN,LEGO WETAN,2.52327691,1046.8,1121.6,0.353,0.336,0.337,0.309,0.300,0.328,0.282228722,0.26863697,0.269436485,0.247050071,0.239854438,0.262240852
501138,35,21,3,2010,KAB. NGAWI,JOGOROGO,DAWUNG,2.69951942,1183.1,1276.9,0.353,0.336,0.337,0.309,0.300,0.328,0.313590308,0.298488225,0.299376583,0.274502564,0.266507344,0.291381363
501139,35,21,10,2003,KAB. NGAWI,PARON,SEMEN,9.33727085,3884.2,5164.7,0.353,0.336,0.337,0.309,0.300,0.328,1.127890253,1.073572592,1.076767749,0.987303366,0.958546957,1.04801134
501140,35,21,11,2011,KAB. NGAWI,KEDUNGGALAR,GEMARANG,5.79236053,2653.6,2587.9,0.353,0.336,0.337,0.309,0.300,0.328,0.670288506,0.638008323,0.639907157,0.586739797,0.569650288,0.622817648
501142,35,21,12,2008,KAB. NGAWI,WIDODAREN,WIDODAREN,4.71914395,2086.7,2662.6,0.353,0.336,0.337,0.309,0.300,0.328,0.584830929,0.556666267,0.558323012,0.511934156,0.497023452,0.543412308
